Date,Open,High,Low,Close,Volume
04/01/2016 16:00:00,38.63,38.64,38.14,38.56,1559196
05/01/2016 16:00:00,38.6,38.72,37.99,38.26,1581170
06/01/2016 16:00:00,37.49,37.57,37,37.05,1525745
07/01/2016 16:00:00,36.44,36.89,36.2,36.22,1629706
08/01/2016 16:00:00,36.62,36.69,36.03,36.06,1364997
11/01/2016 16:00:00,36.4,36.42,35.82,36.09,1602427
12/01/2016 16:00:00,36.55,36.89,36.21,36.73,2972123
13/01/2016 16:00:00,37.09,37.09,35.72,35.89,2137882
14/01/2016 16:00:00,35.9,36.02,35.19,35.68,2212999
15/01/2016 16:00:00,34.84,34.96,34,34.04,2514193
19/01/2016 16:00:00,34.5,34.89,34.2,34.54,2904784
20/01/2016 16:00:00,33.95,34.36,33.49,34.08,3585806
21/01/2016 16:00:00,34.35,35.19,34.21,35.12,2224042
22/01/2016 16:00:00,35.95,36.51,35.86,36.49,2231097
25/01/2016 16:00:00,36.34,36.34,35.1,35.15,2135799
26/01/2016 16:00:00,35.77,36.3,35.6,36.12,1675756
27/01/2016 16:00:00,36.1,36.98,36.07,36.63,1958802
28/01/2016 16:00:00,37.28,37.56,36.83,37.52,1858041
29/01/2016 16:00:00,37.83,37.95,37.05,37.84,1931771
01/02/2016 16:00:00,37.68,37.7,37.11,37.52,1463799
02/02/2016 16:00:00,36.96,36.98,36.45,36.95,2039774
03/02/2016 16:00:00,37.59,37.8,36.74,37.69,1930408
04/02/2016 16:00:00,37.93,38.51,37.93,38.28,1471106
05/02/2016 16:00:00,38.08,38.18,37.53,37.67,1389206
08/02/2016 16:00:00,37.09,37.13,36.67,36.97,1837263
09/02/2016 16:00:00,36.5,36.95,35.87,36.23,2472335
10/02/2016 16:00:00,36.48,36.79,35.63,35.68,1822351
11/02/2016 16:00:00,35.05,35.35,34.73,35.24,1903235
12/02/2016 16:00:00,35.66,36.69,35.58,36.65,1872581
16/02/2016 16:00:00,37.25,37.39,36.6,37.37,1598336
17/02/2016 16:00:00,37.72,38.42,37.6,38.34,1807984
18/02/2016 16:00:00,38.62,38.67,37.92,38.26,1328195
19/02/2016 16:00:00,37.73,38.12,37.32,38.06,1448038
22/02/2016 16:00:00,38.56,38.75,38.06,38.13,1587628
23/02/2016 16:00:00,38.02,38.36,37.72,37.91,1687596
24/02/2016 16:00:00,37.22,37.58,36.21,37.44,2388364
25/02/2016 16:00:00,37.82,38.47,37.67,38.31,1741136
26/02/2016 16:00:00,38.71,38.91,38.26,38.67,2461839
29/02/2016 16:00:00,38.76,38.88,38.46,38.66,2060977
01/03/2016 16:00:00,39.03,39.91,39.02,39.75,1667169
02/03/2016 16:00:00,39.51,39.76,39.05,39.63,1744613
03/03/2016 16:00:00,39.65,40.06,39.54,39.92,1411680
04/03/2016 16:00:00,40,40.34,39.89,40.29,1581537
07/03/2016 16:00:00,40.06,40.86,39.96,40.85,1509359
08/03/2016 16:00:00,40.32,40.83,40.3,40.7,1351855
09/03/2016 16:00:00,40.82,41.63,40.82,41.41,1520492
10/03/2016 16:00:00,41.4,41.57,40.53,40.94,1482248
11/03/2016 16:00:00,41.49,41.74,41.33,41.65,1575214
14/03/2016 16:00:00,41.39,41.65,41.25,41.47,1334417
15/03/2016 16:00:00,41.09,41.45,41.02,41.44,970426
16/03/2016 16:00:00,41.35,42.42,41.31,42.24,1534512
17/03/2016 16:00:00,42.74,43.28,42.5,43.06,256408
18/03/2016 16:00:00,43.17,43.26,42.46,42.51,1889134
21/03/2016 16:00:00,42.44,42.76,42.29,42.54,1027228
22/03/2016 16:00:00,42.27,42.63,42.21,42.51,1468260
23/03/2016 16:00:00,42.28,42.37,41.71,42.01,1260685
24/03/2016 16:00:00,41.57,41.79,41.31,41.77,1156928
