Date,Open,High,Low,Close,Volume
04/01/2016 16:00:00,2038.2,2038.2,1989.68,2012.66,802072115
05/01/2016 16:00:00,2013.78,2021.94,2004.17,2016.71,619260483
06/01/2016 16:00:00,2011.71,2011.71,1979.05,1990.26,734820348
07/01/2016 16:00:00,1985.32,1985.32,1938.83,1943.09,860517477
08/01/2016 16:00:00,1945.97,1960.4,1918.46,1922.03,800798104
11/01/2016 16:00:00,1926.12,1935.65,1901.1,1923.67,775646469
12/01/2016 16:00:00,1927.83,1947.38,1914.35,1938.68,759189614
13/01/2016 16:00:00,1940.34,1950.33,1886.41,1890.28,874565406
14/01/2016 16:00:00,1891.68,1934.47,1878.93,1921.84,920305719
15/01/2016 16:00:00,1916.68,1916.68,1857.83,1880.33,121200428
19/01/2016 16:00:00,1888.66,1901.44,1864.6,1881.33,876359950
20/01/2016 16:00:00,1876.18,1876.18,1812.29,1859.33,4309713
21/01/2016 16:00:00,1861.46,1889.85,1848.98,1868.99,853633943
22/01/2016 16:00:00,1877.4,1908.85,1877.4,1906.9,809147435
25/01/2016 16:00:00,1906.28,1906.28,1875.97,1877.08,760931974
26/01/2016 16:00:00,1878.79,1906.73,1878.79,1903.63,695956044
27/01/2016 16:00:00,1902.52,1916.99,1872.7,1882.95,801306427
28/01/2016 16:00:00,1885.22,1902.96,1873.65,1893.36,820296447
29/01/2016 16:00:00,1894,1940.24,1894,1940.24,144609311
01/02/2016 16:00:00,1936.94,1947.2,1920.3,1939.38,714148314
02/02/2016 16:00:00,1935.26,1935.26,1897.29,1903.03,788015916
03/02/2016 16:00:00,1907.07,1918.01,1872.23,1912.53,893685485
04/02/2016 16:00:00,1911.67,1927.35,1900.52,1915.45,865531792
05/02/2016 16:00:00,1913.07,1913.07,1872.65,1880.05,866331912
08/02/2016 16:00:00,1873.25,1873.25,1828.46,1853.44,1012893978
09/02/2016 16:00:00,1848.46,1868.25,1834.94,1852.21,847335260
10/02/2016 16:00:00,1857.1,1881.6,1850.32,1851.86,765063599
11/02/2016 16:00:00,1847,1847,1810.1,1829.08,959312839
12/02/2016 16:00:00,1833.4,1864.78,1833.4,1864.78,803669163
16/02/2016 16:00:00,1871.44,1895.77,1871.44,1895.58,840931331
17/02/2016 16:00:00,1898.8,1930.68,1898.8,1926.82,818658375
18/02/2016 16:00:00,1927.57,1930,1915.09,1917.83,729872023
19/02/2016 16:00:00,1916.74,1918.78,1902.17,1917.78,862747420
22/02/2016 16:00:00,1924.44,1946.7,1924.44,1945.5,663513182
23/02/2016 16:00:00,1942.38,1942.38,1919.44,1921.27,626779261
24/02/2016 16:00:00,1917.56,1932.08,1891,1929.8,662291401
25/02/2016 16:00:00,1931.87,1951.83,1925.41,1951.7,590047710
26/02/2016 16:00:00,1954.95,1962.96,1945.78,1948.05,669969843
29/02/2016 16:00:00,1947.13,1958.27,1931.81,1932.23,849487499
