Date,Open,High,Low,Close,Volume
04/01/2016 16:00:00,76.82,76.99,76.04,76.66,1755147
05/01/2016 16:00:00,76.67,77.05,76.11,76.62,1321730
06/01/2016 16:00:00,76,76.2,74.68,74.92,1913990
07/01/2016 16:00:00,73.78,74.22,73.13,73.52,2246553
08/01/2016 16:00:00,74.3,74.57,73.42,73.52,1413429
11/01/2016 16:00:00,73.68,73.94,73.07,73.61,1237175
12/01/2016 16:00:00,73.98,74.63,73.27,74.18,1372883
13/01/2016 16:00:00,74.46,74.76,71.98,72,3010489
14/01/2016 16:00:00,72.07,73.28,71.59,73.05,1900263
15/01/2016 16:00:00,71.18,71.64,70.45,70.85,2595860
18/01/2016 16:00:00,70.56,71.45,70.56,70.82,596769
19/01/2016 16:00:00,71.71,72.03,70.85,71.3,1775050
20/01/2016 16:00:00,70.36,70.74,69.39,70.17,2030789
21/01/2016 16:00:00,70.35,71.25,69.87,70.97,1663333
22/01/2016 16:00:00,72.15,73.75,72,73.75,1691732
25/01/2016 16:00:00,73.6,73.6,71.58,71.69,1169655
26/01/2016 16:00:00,72.08,72.91,71.72,72.78,1158458
27/01/2016 16:00:00,72.8,74.58,72.77,74.09,1845060
28/01/2016 16:00:00,73.9,74.72,73.04,74.57,2683677
29/01/2016 16:00:00,74.87,75.22,73.86,75.22,1814764
01/02/2016 16:00:00,74.9,74.9,73.71,74.3,1088348
02/02/2016 16:00:00,72.9,73.61,72.5,73.58,1409673
03/02/2016 16:00:00,73.87,74.37,72.75,73.97,1606146
04/02/2016 16:00:00,73.75,75.14,73.69,74.51,1097314
05/02/2016 16:00:00,74.42,74.68,73.85,74.33,854271
08/02/2016 16:00:00,73.51,73.9,72.82,73.53,1604409
09/02/2016 16:00:00,72.73,72.73,70.6,71.53,2454032
10/02/2016 16:00:00,72.03,72.68,70.15,70.29,1867294
11/02/2016 16:00:00,69.37,69.83,68.65,69.56,1650594
12/02/2016 16:00:00,70.4,71.9,70.28,71.9,1339301
16/02/2016 16:00:00,73.04,73.5,72.03,73.18,1816173
17/02/2016 16:00:00,73.68,74.78,73.68,74.64,1590385
18/02/2016 16:00:00,74.86,74.95,73.5,74.69,1292132
19/02/2016 16:00:00,73.76,74.44,73.49,74.39,1666499
22/02/2016 16:00:00,74.89,75.32,73.68,73.87,1658081
23/02/2016 16:00:00,74.52,75.6,73.33,73.68,1910107
24/02/2016 16:00:00,72.87,73.57,70.47,73.19,1900985
25/02/2016 16:00:00,73.5,73.7,72.88,73.36,1000002
26/02/2016 16:00:00,73.95,74.5,73.47,74.15,1149339
29/02/2016 16:00:00,74.46,74.98,73.89,74.65,1395141
01/03/2016 16:00:00,74.96,76.12,74.88,75.98,1869128
02/03/2016 16:00:00,75.77,76.47,74.84,75.69,1290056
03/03/2016 16:00:00,76.01,76.39,75.77,76.34,1058014
04/03/2016 16:00:00,76.38,76.5,75.98,76.21,1019163
07/03/2016 16:00:00,75.92,77.18,75.75,76.32,1454439
08/03/2016 16:00:00,76,77.58,75.88,77.13,1968350
09/03/2016 16:00:00,77.45,77.95,77.16,77.53,1362697
10/03/2016 16:00:00,78,78.3,77.05,77.51,1230246
11/03/2016 16:00:00,78.1,78.46,77.75,78.24,1270766
14/03/2016 16:00:00,77.96,78.44,77.95,78.15,1126619
15/03/2016 16:00:00,77.92,78.61,77.77,78.54,1150337
16/03/2016 16:00:00,78.5,79.31,78.2,78.46,1220629
17/03/2016 16:00:00,78.6,79.68,78.2,79.34,1351786
18/03/2016 16:00:00,79.11,79.69,78.61,78.61,3699982
21/03/2016 16:00:00,78.68,79.35,78.33,79.04,707779
22/03/2016 16:00:00,78.8,79.23,78.5,78.66,876751
23/03/2016 16:00:00,79.13,79.18,78.37,78.68,894682
24/03/2016 16:00:00,78.26,78.37,77.39,77.95,1107649
28/03/2016 16:00:00,78,78.69,77.62,78.45,600948
29/03/2016 16:00:00,78.26,78.55,77.63,78.39,817635
30/03/2016 16:00:00,78.75,79.48,78.65,79.02,952109
31/03/2016 16:00:00,78.83,79.41,78.75,78.87,1118873
01/04/2016 16:00:00,78.57,79.13,77.82,78.87,1219430
04/04/2016 16:00:00,79.1,79.1,78.42,78.67,709960
06/04/2016 16:00:00,78.46,78.65,77.76,78.4,1357120
07/04/2016 16:00:00,78,78.01,77.08,77.42,1060778
08/04/2016 16:00:00,77.78,78.65,77.77,78.33,1183829
11/04/2016 16:00:00,78.37,78.95,78.36,78.62,1145264
12/04/2016 16:00:00,78.71,79.68,78.69,79.28,1352595
13/04/2016 16:00:00,79.75,80.41,79.6,80.11,1566721
14/04/2016 16:00:00,80.13,80.83,80.08,80.6,1349976
15/04/2016 16:00:00,80.59,81.41,80.45,81.2,1659642
18/04/2016 16:00:00,80.65,81.41,80.51,81.28,1141160
19/04/2016 16:00:00,81.46,81.8,81.27,81.65,1084355
20/04/2016 16:00:00,81.8,82.1,81.58,82,1174729
21/04/2016 16:00:00,82,82.15,81.42,81.75,1597025
22/04/2016 16:00:00,81.61,82.24,81.6,82.17,849314
25/04/2016 16:00:00,82.04,82.1,81.6,81.95,921151
26/04/2016 16:00:00,82.17,82.45,82.04,82.2,950774
27/04/2016 16:00:00,82.11,82.56,82.11,82.47,1073388
28/04/2016 16:00:00,81.1,81.47,80.58,81.47,1784363
29/04/2016 16:00:00,81.25,81.78,81.12,81.74,1084162
02/05/2016 16:00:00,81.7,81.88,81.35,81.66,832597
03/05/2016 16:00:00,81.2,81.32,80.57,81.16,1228720
04/05/2016 16:00:00,80.72,81.15,80.53,81.06,1188612
05/05/2016 16:00:00,81.3,81.3,80.4,80.57,1116617
06/05/2016 16:00:00,80.2,80.97,80.01,80.55,976692
09/05/2016 16:00:00,80.53,80.83,80.24,80.48,897202
10/05/2016 16:00:00,80.8,81.85,80.79,81.5,996067
11/05/2016 16:00:00,81.33,81.98,81.18,81.5,709751
12/05/2016 16:00:00,81.67,82,81.28,81.88,1033569
13/05/2016 16:00:00,81.64,82.23,81.61,82.07,1026586
16/05/2016 16:00:00,82.03,82.79,82.01,82.35,1114886
