Date,Open,High,Low,Close,Volume
04/01/2016 16:00:00,55.25,55.69,54.75,55.54,2979360
05/01/2016 16:00:00,55.61,56.28,55.31,56.13,2374476
06/01/2016 16:00:00,55.67,55.69,55.14,55.16,2446593
07/01/2016 16:00:00,54.5,54.78,54.02,54.31,2530820
08/01/2016 16:00:00,55.17,55.17,54.5,54.56,2003515
11/01/2016 16:00:00,54.83,54.87,53.82,54.19,2864681
12/01/2016 16:00:00,54.45,54.75,53.36,54.05,2733904
13/01/2016 16:00:00,54.2,54.31,52.97,53,2602412
14/01/2016 16:00:00,53.13,53.73,52.8,53.63,3178282
15/01/2016 16:00:00,52.55,52.97,52.08,52.27,5863608
18/01/2016 16:00:00,52.07,52.68,52.07,52.38,1063379
19/01/2016 16:00:00,53.32,53.48,52.68,53.27,3585742
20/01/2016 16:00:00,52.68,52.78,51.17,51.87,3880251
21/01/2016 16:00:00,52.01,53.03,51.79,52.74,2839120
22/01/2016 16:00:00,53.86,54.48,53.69,54.47,3982476
25/01/2016 16:00:00,54.52,54.53,52.85,52.92,1706872
26/01/2016 16:00:00,53.08,53.41,52.85,53.26,2482930
27/01/2016 16:00:00,53.15,54.9,53.12,54.3,2928647
28/01/2016 16:00:00,54.95,56.53,54.57,56.4,3888043
29/01/2016 16:00:00,56.77,57.39,55.74,57.39,3878849
01/02/2016 16:00:00,56.86,56.93,56.06,56.34,1557357
02/02/2016 16:00:00,55.8,55.84,55.09,55.57,2007564
03/02/2016 16:00:00,56,56.15,54.92,55.78,2572522
04/02/2016 16:00:00,55.9,57.13,55.79,56.86,2702712
05/02/2016 16:00:00,56.86,57.03,56.31,56.8,1687340
08/02/2016 16:00:00,56.3,56.4,55.16,55.68,2364551
09/02/2016 16:00:00,55,55.04,53.17,54.17,3573390
10/02/2016 16:00:00,54.88,54.95,52.57,52.66,3069038
11/02/2016 16:00:00,52,52.27,51.57,52.06,3694062
12/02/2016 16:00:00,52.86,54.04,52.75,54.02,2438137
