Date,Open,High,Low,Close,Volume
04/01/2016 16:00:00,73.27,73.27,72.05,73.04,2359551
05/01/2016 16:00:00,73.21,73.58,72.36,72.82,2276700
07/01/2016 16:00:00,70.5,70.98,70.2,70.25,3636462
11/01/2016 16:00:00,70.32,70.47,69.86,70.41,2294066
12/01/2016 16:00:00,70.88,71.43,70.04,70.92,2765805
13/01/2016 16:00:00,71.3,71.5,69.06,69.15,3208803
14/01/2016 16:00:00,69.3,69.75,68,69.57,5310576
15/01/2016 16:00:00,68.07,68.14,66.57,67.05,5710436
18/01/2016 16:00:00,66.51,67.58,66.51,66.87,1543231
19/01/2016 16:00:00,67.78,68.29,67.1,67.43,4896506
20/01/2016 16:00:00,66.64,66.75,64.95,65.62,5653469
21/01/2016 16:00:00,66.08,67.08,65.63,66.83,3894007
22/01/2016 16:00:00,67.5,69.34,67.04,69.34,5199470
25/01/2016 16:00:00,69.13,69.13,66.94,67.03,2805011
26/01/2016 16:00:00,67.41,68.06,66.84,67.62,3391302
27/01/2016 16:00:00,67.69,69.22,67.52,68.63,3167773
28/01/2016 16:00:00,69.5,71.05,68.81,71.05,4410943
29/01/2016 16:00:00,71.44,72.55,70.22,72.55,4558754
01/02/2016 16:00:00,71.7,71.7,70.83,71.27,2071846
02/02/2016 16:00:00,70.14,70.37,69.45,70.08,3009418
03/02/2016 16:00:00,70.41,70.58,68.97,70.14,2866791
04/02/2016 16:00:00,70.09,71.29,70.01,70.99,2882221
05/02/2016 16:00:00,70.74,71.33,70.5,71.14,2257835
08/02/2016 16:00:00,70.36,70.6,68.93,69.29,3986891
09/02/2016 16:00:00,68.21,68.5,66.68,67.64,4707639
10/02/2016 16:00:00,68.25,68.89,66,66.19,3279376
11/02/2016 16:00:00,65.3,65.44,64.52,65,4645515
12/02/2016 16:00:00,66.16,68.05,66,67.98,3089814
16/02/2016 16:00:00,69.08,69.5,67.96,69.41,3423352
17/02/2016 16:00:00,69.95,71.03,69.64,70.95,3198471
18/02/2016 16:00:00,71.3,71.4,70.34,71,2579283
19/02/2016 16:00:00,70.13,71.41,69.68,71.28,3163593
22/02/2016 16:00:00,71.87,71.99,70.35,70.49,3320534
23/02/2016 16:00:00,70.86,71.49,69.43,69.63,3128689
24/02/2016 16:00:00,68.2,68.2,65.55,67.81,6442614
25/02/2016 16:00:00,68,68.05,67.35,67.78,2879750
26/02/2016 16:00:00,68.47,68.92,67.86,68.29,2179439
29/02/2016 16:00:00,68.61,69.24,68.26,69.07,3048928
01/03/2016 16:00:00,69.74,70.61,69.72,70.14,2980840
02/03/2016 16:00:00,69.9,70.55,69.06,70.13,2887263
03/03/2016 16:00:00,70.46,70.84,70.05,70.75,2459719
04/03/2016 16:00:00,70.95,71.57,70.5,71.38,2916338
07/03/2016 16:00:00,71.07,72.29,70.99,72.22,2789961
